source,file,color,label,cpl_mean,cpl_median,cpl_variance,cpl_max,cpl_p90,zero_cpl_rate,top1_rate,top3_rate,top5_rate,max_consecutive_top1,cpl_opening,cpl_middlegame,cpl_endgame,varianza_eval,curtosis_eval,asimetria_eval,inversiones_ventaja,entropia_eval
legal,partida_14.pgn,white,0,38.714285714285715,0.0,3462.089795918367,240.0,125.20000000000002,0.5142857142857142,0.5142857142857142,0.8,0.8571428571428571,7.0,36.63636363636363,59.09090909090909,23.23076923076923,9491950.133877553,3.746988338487922,2.376859255289533,6.0,1.3242636070244327
legal,partida_14.pgn,black,0,78.94117647058823,38.0,12785.173010380624,557.0,213.6,0.20588235294117646,0.17647058823529413,0.5882352941176471,0.7647058823529411,2.0,54.0,115.72727272727273,68.08333333333333,9640577.92820069,3.5153860010227698,-2.329496070191805,0.0,1.3866874823832476
legal,partida_15.pgn,white,0,33.79661016949152,0.0,4912.128124102271,410.0,115.00000000000004,0.576271186440678,0.576271186440678,0.7288135593220338,0.864406779661017,6.0,30.42105263157895,48.0,24.0,8917.315713875323,3.9670297127083556,-0.5305169893877077,14.0,2.456583351909523
legal,partida_15.pgn,black,0,27.551724137931036,2.0,2794.212841854934,274.0,82.6000000000001,0.46551724137931033,0.46551724137931033,0.7758620689655172,0.8793103448275862,5.0,35.89473684210526,36.0,11.6,8190.797859690845,-0.8511955599083363,-0.7546537072615456,11.0,2.8015686967214104
legal,partida_16.pgn,white,0,1296.5,25.0,11262006.75,10175.0,3106.3999999999983,0.375,0.375,0.5,0.625,1.0,21.5,38.5,2563.0,10903695.734375,3.140650471261254,-2.266913141324679,4.0,0.37677016125643675
legal,partida_16.pgn,black,0,43.125,0.0,3871.359375,169.0,133.29999999999998,0.625,0.5,0.875,0.875,2.0,29.0,0.0,71.75,11000747.0,3.1369806945439,2.2654400127340395,4.0,0.37677016125643675
legal,partida_17.pgn,white,0,50.108108108108105,5.0,7674.150474799125,419.0,155.5999999999999,0.4594594594594595,0.43243243243243246,0.5675675675675675,0.7567567567567568,5.0,27.0,96.91666666666667,28.23076923076923,58162.61358655953,2.1170793466498132,1.2896885027012934,2.0,2.512575802323514
legal,partida_17.pgn,black,0,63.67567567567568,6.0,11918.813732651572,483.0,130.99999999999997,0.3783783783783784,0.3783783783783784,0.6756756756756757,0.8108108108108109,4.0,30.75,57.0,100.23076923076923,66616.18407596786,2.5877539458706034,-1.6988632319654666,5.0,2.430328090788686
legal,partida_18.pgn,white,0,214.46875,14.0,1393902.0927734375,9545.0,222.9000000000001,0.4375,0.421875,0.703125,0.8125,3.0,48.666666666666664,532.3809523809524,69.27272727272727,24154.8115234375,-1.1670638880533482,-0.07268987257569515,2.0,3.158112548711431
legal,partida_18.pgn,black,0,223.9206349206349,36.0,1396958.517510708,9498.0,218.0,0.3333333333333333,0.3333333333333333,0.6507936507936508,0.8095238095238095,3.0,64.52380952380952,531.8571428571429,75.38095238095238,1486992.2212144115,56.141237385227704,-7.561229369088059,0.0,0.7507983490426671
legal,partida_19.pgn,white,0,51.733333333333334,0.0,13755.595555555557,597.0,123.70000000000005,0.6,0.6,0.7666666666666667,0.8,6.0,71.3,25.2,58.7,48134.00555555557,1.4911282492791775,1.05206458133967,1.0,2.545864157858944
legal,partida_19.pgn,black,0,51.03448275862069,1.0,8778.929845422115,402.0,196.2,0.4827586206896552,0.4827586206896552,0.6896551724137931,0.7586206896551724,3.0,96.55555555555556,10.333333333333334,47.09090909090909,52383.99524375743,0.9870778966322082,-1.1827721487610676,3.0,2.5278846637099774
